"Region ";"Beschäftigungsquote "
"Baden-Württemberg";"66,7"
"Bayern";"75,2"
"Berlin";"73,2"
"Brandenburg";"61,1"
"Bremen";"64,5"
"Hamburg";"64,5"
"Hessen";"67,0"
"Mecklenburg-Vorpommern";"45,8"
"Niedersachsen";"75,4"
"Nordrhein-Westfalen";"66,4"
"Rheinland-Pfalz";"73,8"
"Saarland";"68,1"
"Sachsen";"52,9"
"Sachsen-Anhalt";"74,1"
"Schleswig-Holstein";"69,8"
"Thüringen";"62,4"
